cache_on,prefix_len,prefill_ms_median,ttft_ms_median
True,5,67.4,92.9
True,161,97.8,136.5
True,325,262.6,322.4
True,478,270.9,328.1
True,604,360.7,409.9
True,720,419.1,471.0
True,875,527.4,589.7
True,1003,731.6,844.4
True,1167,700.9,758.3
True,1313,815.5,850.4
False,5,72.8,112.2
False,161,249.8,280.6
False,325,336.2,371.2
False,478,434.3,482.4
False,604,436.6,499.5
False,720,514.9,564.7
False,875,609.1,645.2
False,1003,774.0,838.8
False,1167,857.0,921.1
False,1313,887.5,980.2
