decoding,prefix_len,total_ms_median,suggestion
greedy,5,290.0,OF THE WOODS
greedy,161,653.3,15th head coach in franchise history.
greedy,325,508.8,John Paxson
greedy,478,920.3,personality and leadership style would fit with our team
greedy,604,989.5,"and we are excited to have him lead our team."""
greedy,720,844.7,"next chapter of the Chicago Bulls."""
greedy,875,1371.2,"He has also served as an assistant coach for the Los Angeles Lakers, the Utah"
greedy,1003,922.5,in the Western Conference.
greedy,1167,960.3,said Splitter
greedy,1313,943.7,players
sampled,5,453.6,OF THE 70s
sampled,161,923.1,ninth coach in franchise history.
sampled,325,511.2,John Paxson
sampled,478,846.9,life experiences have shaped him as a leader
sampled,604,1213.1,and he has tremendous familiarity with our current roster
sampled,720,869.3,"foundation for the future of this franchise."""
sampled,875,1377.1,He was the head coach of the Utah Jazz from 2021 to
sampled,1003,951.7,in the Western Conference.
sampled,1167,1211.4,said Splitter
sampled,1313,1076.9,talented players
